Answer set size: 6655
GraphId: 7148 Similarity: 182.0
GraphId: 1652 Similarity: 182.0
GraphId: 2837 Similarity: 182.0
GraphId: 2669 Similarity: 182.0
GraphId: 11409 Similarity: 181.0
GraphId: 7553 Similarity: 181.0
GraphId: 3320 Similarity: 181.0
GraphId: 1174 Similarity: 181.0
GraphId: 976 Similarity: 181.0
GraphId: 5388 Similarity: 181.0
GraphId: 1016 Similarity: 181.0
GraphId: 244 Similarity: 181.0
GraphId: 381 Similarity: 181.0
GraphId: 797 Similarity: 181.0
GraphId: 3249 Similarity: 181.0
GraphId: 458 Similarity: 181.0
GraphId: 6412 Similarity: 181.0
GraphId: 10969 Similarity: 181.0
GraphId: 9701 Similarity: 181.0
GraphId: 5512 Similarity: 181.0
GraphId: 6 Similarity: 181.0
GraphId: 5780 Similarity: 181.0
GraphId: 7180 Similarity: 181.0
GraphId: 1268 Similarity: 181.0
GraphId: 5124 Similarity: 180.0
GraphId: 5280 Similarity: 180.0
GraphId: 7449 Similarity: 180.0
GraphId: 3180 Similarity: 180.0
GraphId: 3173 Similarity: 180.0
GraphId: 2056 Similarity: 180.0
GraphId: 448 Similarity: 180.0
GraphId: 620 Similarity: 180.0
GraphId: 637 Similarity: 180.0
GraphId: 6188 Similarity: 180.0
GraphId: 11260 Similarity: 180.0
GraphId: 72 Similarity: 180.0
GraphId: 73 Similarity: 180.0
GraphId: 1681 Similarity: 180.0
GraphId: 8328 Similarity: 180.0
GraphId: 1592 Similarity: 180.0
GraphId: 818 Similarity: 179.0
GraphId: 3461 Similarity: 179.0
GraphId: 3508 Similarity: 179.0
GraphId: 2092 Similarity: 179.0
GraphId: 4497 Similarity: 179.0
GraphId: 4692 Similarity: 179.0
GraphId: 280 Similarity: 179.0
GraphId: 529 Similarity: 179.0
GraphId: 1672 Similarity: 179.0
GraphId: 7260 Similarity: 179.0
GraphId: 7072 Similarity: 179.0
GraphId: 4333 Similarity: 178.0
GraphId: 5880 Similarity: 178.0
GraphId: 3080 Similarity: 178.0
GraphId: 3165 Similarity: 178.0
GraphId: 3436 Similarity: 178.0
GraphId: 1169 Similarity: 178.0
GraphId: 2342 Similarity: 178.0
GraphId: 6096 Similarity: 178.0
GraphId: 176 Similarity: 178.0
GraphId: 404 Similarity: 178.0
GraphId: 541 Similarity: 178.0
GraphId: 565 Similarity: 178.0
GraphId: 9928 Similarity: 178.0
GraphId: 5013 Similarity: 178.0
GraphId: 2203 Similarity: 178.0
GraphId: 1252 Similarity: 178.0
GraphId: 3616 Similarity: 178.0
GraphId: 554 Similarity: 177.0
GraphId: 1591 Similarity: 177.0
GraphId: 4628 Similarity: 177.0
GraphId: 1038 Similarity: 177.0
GraphId: 1092 Similarity: 177.0
GraphId: 1070 Similarity: 177.0
GraphId: 3828 Similarity: 177.0
GraphId: 2964 Similarity: 177.0
GraphId: 8469 Similarity: 177.0
GraphId: 6316 Similarity: 177.0
GraphId: 9089 Similarity: 177.0
GraphId: 11584 Similarity: 177.0
GraphId: 762 Similarity: 177.0
GraphId: 1957 Similarity: 176.0
GraphId: 3145 Similarity: 176.0
GraphId: 4920 Similarity: 176.0
GraphId: 1172 Similarity: 176.0
GraphId: 1726 Similarity: 176.0
GraphId: 1357 Similarity: 176.0
GraphId: 397 Similarity: 176.0
GraphId: 10797 Similarity: 176.0
GraphId: 1170 Similarity: 176.0
GraphId: 9768 Similarity: 176.0
GraphId: 2821 Similarity: 176.0
GraphId: 1256 Similarity: 176.0
GraphId: 3204 Similarity: 175.0
GraphId: 8077 Similarity: 175.0
GraphId: 4741 Similarity: 175.0
GraphId: 4860 Similarity: 175.0
GraphId: 639 Similarity: 175.0
GraphId: 1446 Similarity: 175.0
GraphId: 11415 Similarity: 175.0
GraphId: 2118 Similarity: 175.0
GraphId: 739 Similarity: 175.0
GraphId: 8854 Similarity: 175.0
GraphId: 365 Similarity: 175.0
GraphId: 409 Similarity: 175.0
GraphId: 3402 Similarity: 175.0
GraphId: 3948 Similarity: 175.0
GraphId: 1628 Similarity: 175.0
GraphId: 601 Similarity: 175.0
GraphId: 2790 Similarity: 175.0
GraphId: 9497 Similarity: 175.0
GraphId: 1437 Similarity: 175.0
GraphId: 11035 Similarity: 175.0
GraphId: 3166 Similarity: 175.0
GraphId: 1928 Similarity: 174.0
GraphId: 10588 Similarity: 174.0
GraphId: 911 Similarity: 174.0
GraphId: 5896 Similarity: 174.0
GraphId: 985 Similarity: 174.0
GraphId: 889 Similarity: 174.0
GraphId: 461 Similarity: 174.0
GraphId: 708 Similarity: 174.0
GraphId: 1570 Similarity: 174.0
GraphId: 787 Similarity: 174.0
GraphId: 127 Similarity: 174.0
GraphId: 3600 Similarity: 174.0
GraphId: 4598 Similarity: 174.0
GraphId: 6405 Similarity: 174.0
GraphId: 534 Similarity: 174.0
GraphId: 8369 Similarity: 174.0
GraphId: 8705 Similarity: 174.0
GraphId: 2660 Similarity: 174.0
GraphId: 1992 Similarity: 173.0
GraphId: 231 Similarity: 173.0
GraphId: 3168 Similarity: 173.0
GraphId: 2076 Similarity: 173.0
GraphId: 2100 Similarity: 173.0
GraphId: 977 Similarity: 173.0
GraphId: 3357 Similarity: 173.0
GraphId: 1143 Similarity: 173.0
GraphId: 2047 Similarity: 173.0
GraphId: 1397 Similarity: 173.0
GraphId: 2231 Similarity: 173.0
GraphId: 10770 Similarity: 173.0
GraphId: 763 Similarity: 173.0
GraphId: 164 Similarity: 173.0
GraphId: 372 Similarity: 173.0
GraphId: 716 Similarity: 173.0
GraphId: 3928 Similarity: 173.0
GraphId: 2932 Similarity: 173.0
GraphId: 556 Similarity: 173.0
GraphId: 326 Similarity: 173.0
GraphId: 5721 Similarity: 173.0
GraphId: 2352 Similarity: 173.0
GraphId: 6775 Similarity: 173.0
GraphId: 1127 Similarity: 173.0
GraphId: 2663 Similarity: 173.0
GraphId: 1560 Similarity: 173.0
GraphId: 1580 Similarity: 173.0
GraphId: 4156 Similarity: 172.0
GraphId: 4198 Similarity: 172.0
GraphId: 1989 Similarity: 172.0
GraphId: 4518 Similarity: 172.0
GraphId: 626 Similarity: 172.0
GraphId: 4244 Similarity: 172.0
GraphId: 3715 Similarity: 172.0
GraphId: 5927 Similarity: 172.0
GraphId: 3356 Similarity: 172.0
GraphId: 4881 Similarity: 172.0
GraphId: 1140 Similarity: 172.0
GraphId: 484 Similarity: 172.0
GraphId: 640 Similarity: 172.0
GraphId: 680 Similarity: 172.0
GraphId: 1049 Similarity: 172.0
GraphId: 1021 Similarity: 172.0
GraphId: 3001 Similarity: 172.0
GraphId: 9582 Similarity: 172.0
GraphId: 241 Similarity: 172.0
GraphId: 90 Similarity: 172.0
GraphId: 443 Similarity: 172.0
GraphId: 843 Similarity: 172.0
GraphId: 3800 Similarity: 172.0
GraphId: 4008 Similarity: 172.0
GraphId: 1700 Similarity: 172.0
GraphId: 569 Similarity: 172.0
GraphId: 8516 Similarity: 172.0
GraphId: 3206 Similarity: 172.0
GraphId: 9145 Similarity: 172.0
GraphId: 1406 Similarity: 172.0
GraphId: 259 Similarity: 172.0
GraphId: 2831 Similarity: 172.0
GraphId: 2322 Similarity: 172.0
GraphId: 3374 Similarity: 172.0
GraphId: 8442 Similarity: 172.0
GraphId: 1444 Similarity: 172.0
GraphId: 2768 Similarity: 172.0
GraphId: 8728 Similarity: 172.0
GraphId: 1802 Similarity: 172.0
GraphId: 1828 Similarity: 172.0
GraphId: 1273 Similarity: 172.0
GraphId: 4193 Similarity: 171.0
GraphId: 4228 Similarity: 171.0
GraphId: 9739 Similarity: 171.0
GraphId: 2998 Similarity: 171.0
GraphId: 2635 Similarity: 171.0
GraphId: 5925 Similarity: 171.0
GraphId: 3481 Similarity: 171.0
GraphId: 811 Similarity: 171.0
GraphId: 4002 Similarity: 171.0
GraphId: 1135 Similarity: 171.0
GraphId: 7848 Similarity: 171.0
GraphId: 2072 Similarity: 171.0
GraphId: 7637 Similarity: 171.0
GraphId: 828 Similarity: 171.0
GraphId: 1450 Similarity: 171.0
GraphId: 2367 Similarity: 171.0
GraphId: 7186 Similarity: 171.0
GraphId: 457 Similarity: 171.0
GraphId: 8566 Similarity: 171.0
GraphId: 11359 Similarity: 171.0
GraphId: 1998 Similarity: 171.0
GraphId: 10510 Similarity: 171.0
GraphId: 147 Similarity: 171.0
GraphId: 248 Similarity: 171.0
GraphId: 5335 Similarity: 171.0
GraphId: 770 Similarity: 171.0
GraphId: 1697 Similarity: 171.0
GraphId: 2961 Similarity: 171.0
GraphId: 2163 Similarity: 171.0
GraphId: 2380 Similarity: 171.0
GraphId: 2424 Similarity: 171.0
GraphId: 10189 Similarity: 171.0
GraphId: 9940 Similarity: 171.0
GraphId: 2604 Similarity: 171.0
GraphId: 10722 Similarity: 171.0
GraphId: 4968 Similarity: 171.0
GraphId: 5089 Similarity: 171.0
GraphId: 363 Similarity: 171.0
GraphId: 8198 Similarity: 171.0
GraphId: 1423 Similarity: 171.0
GraphId: 1765 Similarity: 171.0
GraphId: 1309 Similarity: 171.0
GraphId: 1973 Similarity: 170.0
GraphId: 7480 Similarity: 170.0
GraphId: 3360 Similarity: 170.0
GraphId: 3437 Similarity: 170.0
GraphId: 1164 Similarity: 170.0
GraphId: 9760 Similarity: 170.0
GraphId: 1113 Similarity: 170.0
GraphId: 9184 Similarity: 170.0
GraphId: 300 Similarity: 170.0
GraphId: 717 Similarity: 170.0
GraphId: 769 Similarity: 170.0
GraphId: 8148 Similarity: 170.0
GraphId: 1696 Similarity: 170.0
GraphId: 4093 Similarity: 170.0
GraphId: 6261 Similarity: 170.0
GraphId: 2592 Similarity: 170.0
GraphId: 10776 Similarity: 170.0
GraphId: 10924 Similarity: 170.0
GraphId: 1588 Similarity: 170.0
GraphId: 4137 Similarity: 169.0
GraphId: 4148 Similarity: 169.0
GraphId: 5173 Similarity: 169.0
GraphId: 7435 Similarity: 169.0
GraphId: 42 Similarity: 169.0
GraphId: 399 Similarity: 169.0
GraphId: 7340 Similarity: 169.0
GraphId: 9914 Similarity: 169.0
GraphId: 3109 Similarity: 169.0
GraphId: 3313 Similarity: 169.0
GraphId: 821 Similarity: 169.0
GraphId: 3388 Similarity: 169.0
GraphId: 904 Similarity: 169.0
GraphId: 4836 Similarity: 169.0
GraphId: 3750 Similarity: 169.0
GraphId: 3399 Similarity: 169.0
GraphId: 3558 Similarity: 169.0
GraphId: 1125 Similarity: 169.0
GraphId: 7323 Similarity: 169.0
GraphId: 8937 Similarity: 169.0
GraphId: 1719 Similarity: 169.0
GraphId: 2543 Similarity: 169.0
GraphId: 1043 Similarity: 169.0
GraphId: 668 Similarity: 169.0
GraphId: 3951 Similarity: 169.0
GraphId: 1024 Similarity: 169.0
GraphId: 1095 Similarity: 169.0
GraphId: 3414 Similarity: 169.0
GraphId: 2343 Similarity: 169.0
GraphId: 10867 Similarity: 169.0
GraphId: 1331 Similarity: 169.0
GraphId: 346 Similarity: 169.0
GraphId: 3885 Similarity: 169.0
GraphId: 5787 Similarity: 169.0
GraphId: 552 Similarity: 169.0
GraphId: 577 Similarity: 169.0
GraphId: 6898 Similarity: 169.0
GraphId: 6851 Similarity: 169.0
GraphId: 7078 Similarity: 169.0
GraphId: 7302 Similarity: 169.0
GraphId: 2552 Similarity: 169.0
GraphId: 2568 Similarity: 169.0
GraphId: 2442 Similarity: 169.0
GraphId: 10458 Similarity: 169.0
GraphId: 10724 Similarity: 169.0
GraphId: 10190 Similarity: 169.0
GraphId: 6603 Similarity: 169.0
GraphId: 10478 Similarity: 169.0
GraphId: 8714 Similarity: 169.0
GraphId: 4154 Similarity: 169.0
GraphId: 5739 Similarity: 169.0
GraphId: 1934 Similarity: 169.0
GraphId: 170 Similarity: 169.0
GraphId: 283 Similarity: 169.0
GraphId: 263 Similarity: 169.0
GraphId: 574 Similarity: 169.0
GraphId: 630 Similarity: 169.0
GraphId: 607 Similarity: 169.0
GraphId: 2034 Similarity: 169.0
GraphId: 1162 Similarity: 169.0
GraphId: 7462 Similarity: 169.0
GraphId: 5800 Similarity: 169.0
GraphId: 2135 Similarity: 169.0
GraphId: 3082 Similarity: 169.0
GraphId: 3607 Similarity: 169.0
GraphId: 5083 Similarity: 169.0
GraphId: 1750 Similarity: 169.0
GraphId: 2693 Similarity: 169.0
GraphId: 1913 Similarity: 168.0
GraphId: 270 Similarity: 168.0
GraphId: 919 Similarity: 168.0
GraphId: 9243 Similarity: 168.0
GraphId: 5195 Similarity: 168.0
GraphId: 2226 Similarity: 168.0
GraphId: 5799 Similarity: 168.0
GraphId: 9559 Similarity: 168.0
GraphId: 11166 Similarity: 168.0
GraphId: 2304 Similarity: 168.0
GraphId: 3586 Similarity: 168.0
GraphId: 4647 Similarity: 168.0
GraphId: 875 Similarity: 168.0
GraphId: 4035 Similarity: 168.0
GraphId: 8650 Similarity: 168.0
GraphId: 7938 Similarity: 168.0
GraphId: 2430 Similarity: 168.0
GraphId: 841 Similarity: 168.0
GraphId: 852 Similarity: 168.0
GraphId: 881 Similarity: 168.0
GraphId: 3405 Similarity: 168.0
GraphId: 4433 Similarity: 168.0
GraphId: 4500 Similarity: 168.0
GraphId: 4553 Similarity: 168.0
GraphId: 6498 Similarity: 168.0
GraphId: 6594 Similarity: 168.0
GraphId: 3831 Similarity: 168.0
GraphId: 3366 Similarity: 168.0
GraphId: 4909 Similarity: 168.0
GraphId: 3390 Similarity: 168.0
GraphId: 3870 Similarity: 168.0
GraphId: 5582 Similarity: 168.0
GraphId: 1209 Similarity: 168.0
GraphId: 1039 Similarity: 168.0
GraphId: 3063 Similarity: 168.0
GraphId: 1345 Similarity: 168.0
GraphId: 1375 Similarity: 168.0
GraphId: 1166 Similarity: 168.0
GraphId: 2314 Similarity: 168.0
GraphId: 2627 Similarity: 168.0
GraphId: 4799 Similarity: 168.0
GraphId: 3386 Similarity: 168.0
GraphId: 11194 Similarity: 168.0
GraphId: 7023 Similarity: 168.0
GraphId: 2634 Similarity: 168.0
GraphId: 77 Similarity: 168.0
GraphId: 88 Similarity: 168.0
GraphId: 10 Similarity: 168.0
GraphId: 348 Similarity: 168.0
GraphId: 1430 Similarity: 168.0
GraphId: 10983 Similarity: 168.0
GraphId: 50 Similarity: 168.0
GraphId: 2799 Similarity: 168.0
GraphId: 854 Similarity: 168.0
GraphId: 2884 Similarity: 168.0
GraphId: 135 Similarity: 168.0
GraphId: 5942 Similarity: 168.0
GraphId: 470 Similarity: 168.0
GraphId: 1403 Similarity: 168.0
GraphId: 1795 Similarity: 168.0
GraphId: 2579 Similarity: 168.0
GraphId: 4050 Similarity: 168.0
GraphId: 2401 Similarity: 168.0
GraphId: 7399 Similarity: 168.0
GraphId: 6089 Similarity: 168.0
GraphId: 8255 Similarity: 168.0
GraphId: 3986 Similarity: 168.0
GraphId: 6357 Similarity: 168.0
GraphId: 3134 Similarity: 168.0
GraphId: 6416 Similarity: 168.0
GraphId: 2449 Similarity: 168.0
GraphId: 2517 Similarity: 168.0
GraphId: 5762 Similarity: 168.0
GraphId: 6203 Similarity: 168.0
GraphId: 9142 Similarity: 168.0
GraphId: 4948 Similarity: 168.0
GraphId: 6823 Similarity: 168.0
GraphId: 5068 Similarity: 168.0
GraphId: 5073 Similarity: 168.0
GraphId: 3167 Similarity: 168.0
GraphId: 1739 Similarity: 168.0
GraphId: 11074 Similarity: 168.0
GraphId: 11211 Similarity: 168.0
GraphId: 11246 Similarity: 168.0
GraphId: 10474 Similarity: 168.0
GraphId: 239 Similarity: 168.0
GraphId: 699 Similarity: 168.0
GraphId: 655 Similarity: 168.0
GraphId: 731 Similarity: 168.0
GraphId: 1666 Similarity: 168.0
GraphId: 2686 Similarity: 168.0
GraphId: 163 Similarity: 168.0
GraphId: 6471 Similarity: 168.0
GraphId: 9963 Similarity: 168.0
GraphId: 11058 Similarity: 168.0
GraphId: 10595 Similarity: 168.0
GraphId: 8219 Similarity: 168.0
GraphId: 7134 Similarity: 168.0
GraphId: 3679 Similarity: 168.0
GraphId: 7702 Similarity: 168.0
GraphId: 10470 Similarity: 168.0
GraphId: 1604 Similarity: 168.0
GraphId: 3705 Similarity: 168.0
GraphId: 3732 Similarity: 168.0
GraphId: 1945 Similarity: 167.0
GraphId: 5177 Similarity: 167.0
GraphId: 5256 Similarity: 167.0
GraphId: 4332 Similarity: 167.0
GraphId: 8073 Similarity: 167.0
GraphId: 2277 Similarity: 167.0
GraphId: 11382 Similarity: 167.0
GraphId: 3125 Similarity: 167.0
GraphId: 6095 Similarity: 167.0
GraphId: 1334 Similarity: 167.0
GraphId: 3546 Similarity: 167.0
GraphId: 4828 Similarity: 167.0
GraphId: 10389 Similarity: 167.0
GraphId: 1409 Similarity: 167.0
GraphId: 618 Similarity: 167.0
GraphId: 2181 Similarity: 167.0
GraphId: 28 Similarity: 167.0
GraphId: 69 Similarity: 167.0
GraphId: 104 Similarity: 167.0
GraphId: 152 Similarity: 167.0
GraphId: 212 Similarity: 167.0
GraphId: 1575 Similarity: 167.0
GraphId: 3801 Similarity: 167.0
GraphId: 3808 Similarity: 167.0
GraphId: 1653 Similarity: 167.0
GraphId: 4053 Similarity: 167.0
GraphId: 4057 Similarity: 167.0
GraphId: 5684 Similarity: 167.0
GraphId: 2384 Similarity: 167.0
GraphId: 7542 Similarity: 167.0
GraphId: 5084 Similarity: 167.0
GraphId: 8017 Similarity: 167.0
GraphId: 874 Similarity: 167.0
GraphId: 4759 Similarity: 167.0
GraphId: 7298 Similarity: 167.0
GraphId: 5832 Similarity: 167.0
GraphId: 1725 Similarity: 167.0
GraphId: 1792 Similarity: 167.0
GraphId: 1233 Similarity: 167.0
GraphId: 3636 Similarity: 167.0
GraphId: 1920 Similarity: 166.0
GraphId: 8851 Similarity: 166.0
GraphId: 1924 Similarity: 166.0
GraphId: 4843 Similarity: 166.0
GraphId: 4699 Similarity: 166.0
GraphId: 6014 Similarity: 166.0
GraphId: 362 Similarity: 166.0
GraphId: 8387 Similarity: 166.0
GraphId: 662 Similarity: 166.0
GraphId: 2219 Similarity: 166.0
GraphId: 5909 Similarity: 166.0
GraphId: 11094 Similarity: 166.0
GraphId: 2297 Similarity: 166.0
GraphId: 10086 Similarity: 166.0
GraphId: 4723 Similarity: 166.0
GraphId: 4054 Similarity: 166.0
GraphId: 2117 Similarity: 166.0
GraphId: 809 Similarity: 166.0
GraphId: 3258 Similarity: 166.0
GraphId: 7793 Similarity: 166.0
GraphId: 3431 Similarity: 166.0
GraphId: 6693 Similarity: 166.0
GraphId: 7982 Similarity: 166.0
GraphId: 4748 Similarity: 166.0
GraphId: 2447 Similarity: 166.0
GraphId: 6178 Similarity: 166.0
GraphId: 8474 Similarity: 166.0
GraphId: 3886 Similarity: 166.0
GraphId: 1121 Similarity: 166.0
GraphId: 1177 Similarity: 166.0
GraphId: 2834 Similarity: 166.0
GraphId: 452 Similarity: 166.0
GraphId: 456 Similarity: 166.0
GraphId: 465 Similarity: 166.0
GraphId: 1398 Similarity: 166.0
GraphId: 1418 Similarity: 166.0
